// Physical Channel, Frequency(hz), bandwidth
2, 57000000
3, 63000000
4, 69000000
5, 79000000
6, 85000000
7, 177000000
8, 183000000
9, 189000000
10, 195000000
11, 201000000
12, 207000000
13, 213000000
14, 473000000
15, 479000000
16, 485000000
17, 491000000
18, 497000000
19, 503000000
20, 509000000
21, 515000000
22, 521000000
23, 527000000
24, 533000000
25, 539000000
26, 545000000
27, 551000000
28, 557000000
29, 563000000
30, 569000000
31, 575000000
32, 581000000
33, 587000000
34, 593000000
35, 599000000
36, 605000000
37, 611000000
38, 617000000
39, 623000000
40, 629000000
41, 635000000
42, 641000000
43, 647000000
44, 653000000
45, 659000000
46, 665000000
47, 671000000
48, 677000000
49, 683000000
50, 689000000
51, 695000000
52, 701000000
53, 707000000
54, 713000000
55, 719000000
56, 725000000
57, 731000000
58, 737000000
59, 743000000
60, 749000000
61, 755000000
62, 761000000
63, 767000000
64, 773000000
65, 779000000
66, 785000000
67, 791000000
68, 797000000
69, 803000000
